Time,Susceptible,Infected,Recovered
0.000000,99900.000000,100.000000,0.000000
0.100000,99896.972921,102.017027,1.010052
0.200000,99893.884881,104.074643,2.040476
0.300000,99890.734657,106.173660,3.091683
0.400000,99887.521002,108.314908,4.164090
0.500000,99884.242644,110.499231,5.258124
0.600000,99880.898286,112.727493,6.374221
0.700000,99877.486605,115.000571,7.512823
0.800000,99874.006251,117.319364,8.674385
0.900000,99870.455849,119.684785,9.859366
1.000000,99866.833995,122.097766,11.068239
1.100000,99863.139257,124.559260,12.301483
1.200000,99859.370176,127.070235,13.559589
1.300000,99855.525264,129.631680,14.843056
1.400000,99851.603001,132.244604,16.152394
1.500000,99847.601841,134.910036,17.488123
1.600000,99843.520204,137.629023,18.850773
1.700000,99839.356479,140.402635,20.240886
1.800000,99835.109026,143.231962,21.659012
1.900000,99830.776169,146.118117,23.105714
2.000000,99826.356200,149.062233,24.581567
2.100000,99821.847379,152.065465,26.087156
2.200000,99817.247929,155.128993,27.623078
2.300000,99812.556040,158.254019,29.189941
2.400000,99807.769864,161.441768,30.788367
2.500000,99802.887520,164.693490,32.418990
2.600000,99797.907087,168.010459,34.082454
2.700000,99792.826606,171.393974,35.779421
2.800000,99787.644081,174.845359,37.510560
2.900000,99782.357477,178.365965,39.276559
3.000000,99776.964717,181.957169,41.078115
3.100000,99771.463684,185.620374,42.915942
3.200000,99765.852220,189.357013,44.790767
3.300000,99760.128125,193.168543,46.703332
3.400000,99754.289154,197.056454,48.654392
3.500000,99748.333019,201.022261,50.644720
3.600000,99742.257387,205.067510,52.675102
3.700000,99736.059880,209.193779,54.746341
3.800000,99729.738073,213.402673,56.859253
3.900000,99723.289493,217.695832,59.014675
4.000000,99716.711618,222.074926,61.213457
4.100000,99710.001879,226.541656,63.456466
4.200000,99703.157655,231.097758,65.744588
4.300000,99696.176274,235.745001,68.078725
4.400000,99689.055013,240.485190,70.459797
4.500000,99681.791095,245.320161,72.888744
4.600000,99674.381688,250.251789,75.366523
4.700000,99666.823908,255.281983,77.894109
4.800000,99659.114811,260.412691,80.472497
4.900000,99651.251400,265.645896,83.102704
5.000000,99643.230615,270.983621,85.785764
5.100000,99635.049341,276.427927,88.522732
5.200000,99626.704400,281.980916,91.314685
5.300000,99618.192553,287.644727,94.162720
5.400000,99609.510500,293.421544,97.067956
5.500000,99600.654875,299.313591,100.031535
5.600000,99591.622248,305.323133,103.054619
5.700000,99582.409123,311.452481,106.138397
5.800000,99573.011936,317.703988,109.284076
5.900000,99563.427055,324.080054,112.492891
6.000000,99553.650777,330.583122,115.766100
6.100000,99543.679331,337.215684,119.104986
6.200000,99533.508869,343.980276,122.510854
6.300000,99523.135474,350.879486,125.985040
6.400000,99512.555149,357.915949,129.528901
6.500000,99501.763826,365.092349,133.143825
6.600000,99490.757354,372.411422,136.831224
6.700000,99479.531506,379.875955,140.592539
6.800000,99468.081975,387.488788,144.429237
6.900000,99456.404369,395.252812,148.342818
7.000000,99444.494216,403.170977,152.334807
7.100000,99432.346955,411.246283,156.406762
7.200000,99419.957943,419.481790,160.560267
7.300000,99407.322445,427.880613,164.796942
7.400000,99394.435641,436.445925,169.118434
7.500000,99381.292614,445.180960,173.526426
7.600000,99367.888361,454.089009,178.022630
7.700000,99354.217779,463.173427,182.608794
7.800000,99340.275672,472.437630,187.286698
7.900000,99326.056747,481.885095,192.058157
8.000000,99311.555610,491.519367,196.925023
8.100000,99296.766767,501.344053,201.889180
8.200000,99281.684621,511.362828,206.952551
8.300000,99266.303471,521.579433,212.117095
8.400000,99250.617510,531.997678,217.384811
8.500000,99234.620823,542.621443,222.757734
8.600000,99218.307383,553.454678,228.237938
8.700000,99201.671056,564.501404,233.827539
8.800000,99184.705592,575.765717,239.528692
8.900000,99167.404624,587.251784,245.343593
9.000000,99149.761670,598.963849,251.274481
9.100000,99131.770129,610.906233,257.323637
9.200000,99113.423279,623.083333,263.493388
9.300000,99094.714273,635.499625,269.786101
9.400000,99075.636142,648.159665,276.204193
9.500000,99056.181788,661.068090,282.750123
9.600000,99036.343983,674.229619,289.426398
9.700000,99016.115371,687.649054,296.235575
9.800000,98995.488461,701.331284,303.180255
9.900000,98974.455627,715.281280,310.263093
10.000000,98953.009105,729.504105,317.486790
10.100000,98931.140993,744.004905,324.854102
10.200000,98908.843247,758.788920,332.367832
10.300000,98886.107679,773.861479,340.030842
10.400000,98862.925955,789.228003,347.846042
10.500000,98839.289593,804.894007,355.816400
10.600000,98815.189962,820.865099,363.944939
10.700000,98790.618275,837.146987,372.234738
10.800000,98765.565595,853.745471,380.688934
10.900000,98740.022824,870.666454,389.310722
11.000000,98713.980708,887.915934,398.103358
11.100000,98687.429828,905.500015,407.070156
11.200000,98660.360605,923.424901,416.214494
11.300000,98632.763291,941.696897,425.539811
11.400000,98604.627971,960.322418,435.049611
11.500000,98575.944560,979.307980,444.747460
11.600000,98546.702797,998.660210,454.636992
11.700000,98516.892250,1018.385842,464.721909
11.800000,98486.502305,1038.491718,475.005977
11.900000,98455.522172,1058.984794,485.493034
12.000000,98423.940876,1079.872137,496.186987
12.100000,98391.747259,1101.160927,507.091815
12.200000,98358.929974,1122.858458,518.211568
12.300000,98325.477488,1144.972141,529.550371
12.400000,98291.378074,1167.509503,541.112423
12.500000,98256.619812,1190.478190,552.901999
12.600000,98221.190585,1213.885965,564.923450
12.700000,98185.078079,1237.740714,577.181208
12.800000,98148.269778,1262.050441,589.679781
12.900000,98110.752965,1286.823275,602.423760
13.000000,98072.514716,1312.067466,615.417818
13.100000,98033.541900,1337.791391,628.666709
13.200000,97993.821177,1364.003550,642.175273
13.300000,97953.338995,1390.712569,655.948436
13.400000,97912.081589,1417.927202,669.991210
13.500000,97870.034976,1445.656329,684.308695
13.600000,97827.184958,1473.908961,698.906081
13.700000,97783.517114,1502.694236,713.788649
13.800000,97739.016804,1532.021424,728.961772
13.900000,97693.669161,1561.899923,744.430916
14.000000,97647.459095,1592.339265,760.201640
14.100000,97600.371287,1623.349111,776.279602
14.200000,97552.390189,1654.939255,792.670557
14.300000,97503.500021,1687.119624,809.380355
14.400000,97453.684771,1719.900279,826.414950
14.500000,97402.928194,1753.291410,843.780395
14.600000,97351.213808,1787.303345,861.482847
14.700000,97298.524892,1821.946542,879.528566
14.800000,97244.844489,1857.231594,897.923918
14.900000,97190.155401,1893.169226,916.675374
15.000000,97134.440189,1929.770298,935.789514
15.100000,97077.681172,1967.045800,955.273028
15.200000,97019.860426,2005.006859,975.132715
15.300000,96960.959784,2043.664729,995.375487
15.400000,96900.960832,2083.030798,1016.008370
15.500000,96839.844912,2123.116585,1037.038502
15.600000,96777.593121,2163.933739,1058.473140
15.700000,96714.186309,2205.494037,1080.319654
15.800000,96649.605078,2247.809385,1102.585537
15.900000,96583.829787,2290.891815,1125.278399
16.000000,96516.840544,2334.753485,1148.405971
16.100000,96448.617216,2379.406677,1171.976107
16.200000,96379.139419,2424.863797,1195.996784
16.300000,96308.386528,2471.137368,1220.476104
16.400000,96236.337670,2518.240035,1245.422295
16.500000,96162.971730,2566.184559,1270.843711
16.600000,96088.267351,2614.983814,1296.748835
16.700000,96012.202932,2664.650788,1323.146280
16.800000,95934.756636,2715.198577,1350.044787
16.900000,95855.906385,2766.640384,1377.453231
17.000000,95775.629866,2818.989515,1405.380619
17.100000,95693.904533,2872.259376,1433.836091
17.200000,95610.707607,2926.463473,1462.828921
17.300000,95526.016080,2981.615400,1492.368519
17.400000,95439.806721,3037.728846,1522.464434
17.500000,95352.056073,3094.817580,1553.126347
17.600000,95262.740462,3152.895456,1584.364082
17.700000,95171.835997,3211.976403,1616.187600
17.800000,95079.318578,3272.074421,1648.607001
17.900000,94985.163897,3333.203578,1681.632525
